Rank,Country,Continent,ntg,NGYear
1,United States,North America,"934,200",2021 est.
2,Russia,Europe,"701,700",2021 est.
3,Iran,Asia,"256,700",2021 est.
4,China,Asia,"209,200",2021 est.
5,Qatar,Asia,"177,000",2021 est.
6,Canada,North America,"172,300",2021 est.
7,Australia,Oceania,"147,200",2021 est.
8,Saudi Arabia,Asia,"117,300",2021 est.
9,Norway,Europe,"114,300",2021 est.
10,Algeria,Africa,"100,800",2021 est.
11,Turkmenistan,Asia,"79,300",2021 est.
12,Malaysia,Asia,"74,200",2021 est.
13,Egypt,Africa,"67,800",2021 est.
14,Indonesia,Asia,"59,300",2021 est.
15,United Arab Emirates,Asia,"57,000",2021 est.
16,Uzbekistan,Asia,"50,900",2021 est.
17,Nigeria,Africa,"45,900",2021 est.
18,Netherlands,Europe,"47,460",2016 est.
19,Trinidad and Tobago,Caribbean,"40,870",2015 est.
20,United Kingdom,Europe,"40,600",2018 est.
21,Mexico,North America,"40,370",2015 est.
22,Argentina,South America,"39,400",2018 est.
23,Pakistan,Asia,"39,300",2015 est.
24,Thailand,Asia,"37,700",2018 est.
25,Oman,Asia,"29,930",2015 est.
26,Azerbaijan,Asia,"29,370",2016 est.
27,India,Asia,"26,210",2016 est.
28,Bangladesh,Asia,"26,100",2016 est.
29,Venezuela,South America,"26,000",2015 est.
30,Kazakhstan,Eurasia,"22,890",2017 est.
31,Bahrain,Asia,"21,070",2016 est.
32,Bolivia,South America,"20,510",2017 est.
33,Brazil,South America,"20,410",2015 est.
34,Ukraine,Europe,"19,000",2015 est.
35,Myanmar,Asia,"17,500",2015 est.
36,Kuwait,Asia,"16,910",2015 est.
37,Peru,South America,"12,620",2015 est.
38,Brunei,Asia,"12,000",2015 est.
39,Libya,Africa,"11,600",2015 est.
40,Romania,Europe,"11,170",2015 est.
41,Israel,Asia,10.474,2019 est.
42,Colombia,South America,"9,897",2015 est.
43,Vietnam,Asia,"9,890",2017 est.
44,Papua New Guinea,Oceania,"9,800",2015 est.
45,Germany,Europe,"8,730",2015 est.
46,Timor-Leste,Asia,"7,700",2015 est.
47,Equatorial Guinea,Africa,"6,200",2015 est.
48,Poland,Europe,"6,132",2015 est.
49,Italy,Europe,"5,785",2016 est.
50,Mozambique,Africa,"5,695",2015 est.
51,New Zealand,Oceania,"4,954",2015 est.
52,Denmark,Europe,"4,618",2015 est.
53,Japan,Asia,"4,453",2015 est.
54,Syria,Asia,"4,300",2015 est.
55,Philippines,Asia,"3,942",2017 est.
56,Egypt,Africa,"3,610",2015 est.
57,Yemen,Asia,"2,850",2015 est.
58,Ivory Coast,Africa,"2,063",2015 est.
59,Hungary,Europe,"1,772",2015 est.
60,Croatia,Europe,"1,691",2016 est.
61,Tunisia,Africa,"1,575",2015 est.
62,"Congo, Republic of the",Africa,"1,500",2015 est.
63,Cuba,Caribbean,"1,185",2016 est.
64,Austria,Europe,"1,124",2016 est.
65,South Africa,Africa,"1,100",2015 est.
66,Tanzania,Africa,"1,100",2015 est.
67,Chile,South America,"1,008",2015 est.
68,Iraq,Asia,"1,002",2015 est.
69,Angola,Africa,773,2015 est.
70,Cameroon,Africa,680,2015 est.
71,Serbia,Europe,586,2016 est.
72,Ghana,Africa,554,2016 est.
73,Ecuador,South America,497,2015 est.
74,Turkey,Eurasia,381,2015 est.
75,Gabon,Africa,378,2015 est.
76,Taiwan,Asia,340,2015 est.
77,Czech Republic,Europe,247,2015 est.
78,South Korea,Asia,188,2015 est.
79,Afghanistan,Asia,165,2016 est.
80,Jordan,Asia,151,2015 est.
81,Ireland,Europe,132,2015 est.
82,Morocco,Africa,94,2015 est.
83,Slovakia,Europe,94,2015 est.
84,Bulgaria,Europe,79,2016 est.
85,Spain,Europe,62,2015 est.
86,Senegal,Africa,62,2015 est.
87,Albania,Europe,35,2015 est.
88,Kyrgyzstan,Asia,30,2015 est.
89,Belarus,Europe,30,2015 est.
90,France,Europe,28,2015 est.
91,Switzerland,Europe,25,2015 est.
92,Tajikistan,Asia,20,2015 est.
93,Barbados,Caribbean,17,2016 est.
94,Georgia,Asia,10,2015 est.
95,"Congo, Democratic Republic of the",Africa,8,2011 est.
96,Finland,Europe,8,2015 est.
97,Luxembourg,Europe,6,2015 est.
98,Greece,Europe,4,2015 est.
99,Slovenia,Europe,4,2017 est.
