Country,pop
China,"1,425,887,337"
India,"1,417,173,173"
United States,"338,289,857"
Indonesia,"275,501,339"
Pakistan,"235,824,863"
Nigeria,"218,541,212"
Brazil,"215,313,498"
Bangladesh,"171,186,373"
Russia,"144,713,314"
Mexico,"127,504,126"
Japan,"123,951,692"
Ethiopia,"123,379,925"
Philippines,"115,559,009"
Egypt,"110,990,103"
DR Congo,"99,010,212"
Vietnam,"98,186,856"
Iran,"88,550,570"
Turkey,"85,341,241"
Germany,"83,369,843"
Thailand,"71,697,030"
United Kingdom,"67,508,936"
Tanzania,"65,497,748"
France,"64,626,628"
South Africa,"59,893,886"
Italy,"59,037,474"
Myanmar,"54,179,306"
Kenya,"54,027,487"
Colombia,"51,874,024"
South Korea,"51,815,810"
Spain,"47,558,630"
Uganda,"47,249,585"
Sudan,"46,874,204"
Argentina,"45,510,318"
Algeria,"44,903,225"
Iraq,"44,496,122"
Afghanistan,"41,128,771"
Poland,"39,857,146"
Ukraine,"39,701,739"
Canada,"38,454,327"
Morocco,"37,457,971"
Saudi Arabia,"36,408,820"
Angola,"35,588,987"
Uzbekistan,"34,627,653"
Peru,"34,049,589"
Malaysia,"33,938,222"
Yemen,"33,696,614"
Ghana,"33,475,870"
Mozambique,"32,969,519"
Nepal,"30,547,580"
Madagascar,"29,611,714"
Venezuela,"28,301,696"
Ivory Coast,"28,160,543"
Cameroon,"27,914,537"
Niger,"26,207,977"
Australia,"26,177,414"
North Korea,"26,069,417"
Taiwan,"23,893,395"
Burkina Faso,"22,673,762"
Mali,"22,593,591"
Syria,"22,125,249"
Sri Lanka,"21,832,143"
Malawi,"20,405,317"
Zambia,"20,017,675"
Romania,"19,659,267"
Chile,"19,603,733"
Kazakhstan,"19,397,998"
Ecuador,"18,001,000"
Guatemala,"17,843,908"
Chad,"17,723,315"
Somalia,"17,597,511"
Netherlands,"17,564,014"
Senegal,"17,316,449"
Cambodia,"16,767,842"
Zimbabwe,"16,320,537"
Guinea,"13,859,341"
Rwanda,"13,776,698"
Benin,"13,352,864"
Burundi,"12,889,577"
Tunisia,"12,356,117"
Bolivia,"12,224,110"
Belgium,"11,655,930"
Haiti,"11,584,996"
Jordan,"11,285,869"
Dominican Republic,"11,228,821"
Cuba,"11,212,191"
South Sudan,"10,913,164"
Sweden,"10,549,347"
Czechia,"10,493,986"
Honduras,"10,432,860"
Greece,"10,384,971"
Azerbaijan,"10,358,074"
Portugal,"10,270,865"
Papua New Guinea,"10,142,619"
Hungary,"9,967,308"
Tajikistan,"9,952,787"
Belarus,"9,534,955"
United Arab Emirates,"9,441,129"
Israel,"9,038,309"
Austria,"8,939,617"
Togo,"8,848,699"
Switzerland,"8,740,472"
Sierra Leone,"8,605,718"
Laos,"7,529,475"
Hong Kong (China),"7,488,865"
Serbia,"7,221,366"
Nicaragua,"6,948,392"
Libya,"6,812,341"
Bulgaria,"6,781,953"
Paraguay,"6,780,744"
Kyrgyzstan,"6,630,623"
Turkmenistan,"6,430,771"
El Salvador,"6,336,392"
Singapore,"5,975,689"
Congo,"5,970,424"
Denmark,"5,882,262"
