country,ntg
        United States,34517.79754
        Russia,24774.84026
        Iran,8767.058842
        China,7485.592649
        Canada,6434.85388
        Qatar,5968.035978
        Australia,5195.574816
        Saudi Arabia,4081.529088
        Norway,4065.954016
        Algeria,3606.954675
        Turkmenistan,3072.619607
        Malaysia,2507.072837
        Egypt,2451.881392
        United Arab Emirates,2251.654034
        Indonesia,2081.85634
        Uzbekistan,1754.975214
        Nigeria,1567.548432
        Argentina,1427.612042
        Oman,1383.891866
        Thailand,1283.985476
        Pakistan,1178.965803
        United Kingdom,1147.112074
        India,1140.348837
        Azerbaijan,1108.002385
        Trinidad and Tobago,908.3881576
        Bangladesh,844.5323982
        Mexico,843.9922713
        Brazil,839.2169231
        Netherlands,761.6758348
        Kuwait,751.5744721
        Kazakhstan,705.7120042
        Ukraine,667.9687255
        Bahrain,658.1307176
        Israel,625.8499119
        Burma,573.784884
        Venezuela,562.96151
        Bolivia,546.2451702
        Libya,517.4742623
        Peru,419.8779145
        Colombia,403.4248516
        Brunei,402.6262401
        Papua New Guinea,402.55774
        Iraq,377.0480745
        Romania,329.0209345
        Vietnam,247.5913617
        East Timor,213.307143
        Angola,206.875242
        Equatorial Guinea,206.3848142
        Poland,198.8600981
        Mozambique,188.7417404
        Germany,175.9038996
        New Zealand,146.3114002
        Syria,115.314826
        Italy,112.833565
        Ghana,103.1407386
        Philippines,89.9356242
        Ivory Coast,88.12518082
        Japan,83.92895235
        Cameroon,81.444097
        Ireland,55.1363597
        Hungary,52.71210601
        Tunisia,51.47718079
        Chile,47.81664237
        Tanzania,46.54534594
        Denmark,42.12627693
        South Africa,39.27359456
        Cuba,31.832238
        Croatia,29.06119283
        Austria,24.05186649
        Gabon,16.0328738
        Congo,14.6556005
        Turkey,13.89369077
        Serbia,13.61900813
        Ecuador,10.52729869
        Czechia,7.201119677
        Jordan,6.551898822
        Yemen,4.2294266
        Morocco,4.152017499
        Taiwan,3.221582099
        Afghanistan,2.83223894
        Belarus,2.6107813
        Senegal,2.240895837
        Slovakia,2.207482113
        Albania,2.082494209
        Rwanda,2.003379
        South Korea,1.946798914
        Spain,1.672625642
        Bulgaria,1.26652341
        Kyrgyzstan,0.825056642
        France,0.798574773
        Tajikistan,0.652465563
        Barbados,0.526861
        Georgia,0.397143206
        Suriname,0.246029
        Belgium,0.1827644
        Slovenia,0.162849484
        Greece,0.15930892
        Moldova,0.000350927
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
