,country,ntg
0,United States,34517.79754
1,Russia,24774.84026
2,Iran,8767.058842
3,China,7485.592649
4,Canada,6434.85388
5,Qatar,5968.035978
6,Australia,5195.574816
7,Saudi Arabia,4081.529088
8,Norway,4065.954016
9,Algeria,3606.954675
10,Turkmenistan,3072.619607
11,Malaysia,2507.072837
12,Egypt,2451.881392
13,United Arab Emirates,2251.654034
14,Indonesia,2081.85634
15,Uzbekistan,1754.975214
16,Nigeria,1567.548432
17,Argentina,1427.612042
18,Oman,1383.891866
19,Thailand,1283.985476
20,Pakistan,1178.965803
21,United Kingdom,1147.112074
22,India,1140.348837
23,Azerbaijan,1108.002385
24,Trinidad and Tobago,908.3881576
25,Bangladesh,844.5323982
26,Mexico,843.9922713
27,Brazil,839.2169231
28,Netherlands,761.6758348
29,Kuwait,751.5744721
30,Kazakhstan,705.7120042
31,Ukraine,667.9687255
32,Bahrain,658.1307176
33,Israel,625.8499119
34,Burma,573.784884
35,Venezuela,562.96151
36,Bolivia,546.2451702
37,Libya,517.4742623
38,Peru,419.8779145
39,Colombia,403.4248516
40,Brunei,402.6262401
41,Papua New Guinea,402.55774
42,Iraq,377.0480745
43,Romania,329.0209345
44,Vietnam,247.5913617
45,East Timor,213.307143
46,Angola,206.875242
47,Equatorial Guinea,206.3848142
48,Poland,198.8600981
49,Mozambique,188.7417404
50,Germany,175.9038996
51,New Zealand,146.3114002
52,Syria,115.314826
53,Italy,112.833565
54,Ghana,103.1407386
55,Philippines,89.9356242
56,Ivory Coast,88.12518082
57,Japan,83.92895235
58,Cameroon,81.444097
59,Ireland,55.1363597
60,Hungary,52.71210601
61,Tunisia,51.47718079
62,Chile,47.81664237
63,Tanzania,46.54534594
64,Denmark,42.12627693
65,South Africa,39.27359456
66,Cuba,31.832238
67,Croatia,29.06119283
68,Austria,24.05186649
69,Gabon,16.0328738
70,Congo,14.6556005
71,Turkey,13.89369077
72,Serbia,13.61900813
73,Ecuador,10.52729869
74,Czechia,7.201119677
75,Jordan,6.551898822
76,Yemen,4.2294266
77,Morocco,4.152017499
78,Taiwan,3.221582099
79,Afghanistan,2.83223894
80,Belarus,2.6107813
81,Senegal,2.240895837
82,Slovakia,2.207482113
83,Albania,2.082494209
84,Rwanda,2.003379
85,South Korea,1.946798914
86,Spain,1.672625642
87,Bulgaria,1.26652341
88,Kyrgyzstan,0.825056642
89,France,0.798574773
90,Tajikistan,0.652465563
91,Barbados,0.526861
92,Georgia,0.397143206
93,Suriname,0.246029
94,Belgium,0.1827644
95,Slovenia,0.162849484
96,Greece,0.15930892
97,Moldova,0.000350927
